Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Pain Management Achievement Points,Pain Management Improvement Points,Pain Management Dimension Score,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall  Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score,Location
30093,BANNER DEL E WEBB MEDICAL CENTER,14502 WEST MEEKER BOULEVARD,Mesa,AZ,85202,MARICOPA,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,1 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,9 out of 10,9 out of 9,9 out of 10,2 out of 10,1 out of 9,2 out of 10,13,15,"14502 WEST MEEKER BOULEVARD
Mesa, AZ 85202
"
40007,CHI-ST VINCENT INFIRMARY,TWO ST VINCENT CIRCLE,Little Rock,AR,72205,PULASKI,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,2 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,7,16,"TWO ST VINCENT CIRCLE
Little Rock, AR 72205
"
40018,SPARKS MEDICAL CENTER - VAN BUREN,EAST MAIN AND SOUTH 20TH STREET,Van Buren,AR,72957,CRAWFORD,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,2 out of 9,3 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,7,14,"EAST MAIN AND SOUTH 20TH STREET
Van Buren, AR 72957
"
40050,OUACHITA COUNTY MEDICAL CENTER,638 CALIFORNIA AVENUE,Camden,AR,71711,OUACHITA,4 out of 10,0 out of 9,4 out of 10,5 out of 10,0 out of 9,5 out of 10,6 out of 10,0 out of 9,6 out of 10,5 out of 10,0 out of 9,5 out of 10,6 out of 10,6 out of 9,6 out of 10,6 out of 10,1 out of 9,6 out of 10,6 out of 10,8 out of 9,8 out of 10,0 out of 10,0 out of 9,0 out of 10,40,17,"638 CALIFORNIA AVENUE
Camden, AR 71711
"
50008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVE,Roseville,CA,95747,SAN FRANCISCO,0 out of 10,1 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,6,11,"601 DUBOCE AVE
Roseville, CA 95747
"
50047,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP,2333 BUCHANAN STREET,Roseville,CA,95747,SAN FRANCISCO,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2,8,"2333 BUCHANAN STREET
Roseville, CA 95747
"
50054,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,Banning,CA,92220,RIVERSIDE,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,10,11,"600 NORTH HIGHLAND SPRINGS AVENUE
Banning, CA 92220
"
50055,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,3555 CESAR CHAVEZ STREET,San Francisco,CA,94110,SAN FRANCISCO,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2,12,"3555 CESAR CHAVEZ STREET
San Francisco, CA 94110
"
50103,WHITE MEMORIAL MEDICAL CENTER,1720 E CESAR AVENUE,Los Angeles,CA,90033,LOS ANGELES,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,7,16,"1720 E CESAR AVENUE
Los Angeles, CA 90033
"
50224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,Newport Beach,CA,92663,ORANGE,2 out of 10,1 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,4 out of 10,1 out of 9,4 out of 10,2 out of 10,2 out of 9,2 out of 10,1 out of 10,2 out of 9,2 out of 10,2 out of 10,4 out of 9,4 out of 10,9 out of 10,7 out of 9,9 out of 10,26,19,"ONE HOAG DRIVE
Newport Beach, CA 92663
"
50235,PROVIDENCE SAINT JOSEPH MEDICAL CTR,501 SOUTH BUENA VISTA,Torrance,CA,90504,LOS ANGELES,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,3 out of 9,3 out of 10,4 out of 10,0 out of 9,4 out of 10,7,17,"501 SOUTH BUENA VISTA
Torrance, CA 90504
"
50280,MERCY MEDICAL CENTER REDDING,"2175 ROSALINE AVE, CLAIRMONT HGTS",Redding,CA,96001,SHASTA,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,1 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,8 out of 10,7 out of 9,8 out of 10,0 out of 10,0 out of 9,0 out of 10,11,7,"2175 ROSALINE AVE, CLAIRMONT HGTS
Redding, CA 96001
"
50309,SUTTER ROSEVILLE MEDICAL CENTER,ONE MEDICAL PLAZA,Roseville,CA,95661,PLACER,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,1 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,3 out of 10,3 out of 9,3 out of 10,4 out of 10,0 out of 9,4 out of 10,17,18,"ONE MEDICAL PLAZA
Roseville, CA 95661
"
50359,TULARE REGIONAL MEDICAL CENTER,869 CHERRY AVENUE,Tulare,CA,93274,TULARE,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2,9,"869 CHERRY AVENUE
Tulare, CA 93274
"
50441,STANFORD HEALTH CARE,300 PASTEUR DRIVE,Stanford,CA,94305,SANTA CLARA,6 out of 10,3 out of 9,6 out of 10,4 out of 10,0 out of 9,4 out of 10,5 out of 10,4 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,0 out of 9,5 out of 10,5 out of 10,2 out of 9,5 out of 10,27,10,"300 PASTEUR DRIVE
Stanford, CA 94305
"
50454,UCSF MEDICAL CENTER,"505 PARNASSUS AVE, BOX 0296",San Francisco,CA,94143,SAN FRANCISCO,4 out of 10,4 out of 9,4 out of 10,1 out of 10,1 out of 9,1 out of 10,1 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,1 out of 9,3 out of 10,0 out of 10,1 out of 9,1 out of 10,7 out of 10,5 out of 9,7 out of 10,4 out of 10,0 out of 9,4 out of 10,22,17,"505 PARNASSUS AVE, BOX 0296
San Francisco, CA 94143
"
50488,EDEN MEDICAL CENTER,20103 LAKE CHABOT ROAD,Castro Valley,CA,94546,ALAMEDA,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,3 out of 9,3 out of 10,2 out of 10,1 out of 9,2 out of 10,0 out of 10,2 out of 9,2 out of 10,5 out of 10,6 out of 9,6 out of 10,1 out of 10,0 out of 9,1 out of 10,5 out of 10,6 out of 9,6 out of 10,21,15,"20103 LAKE CHABOT ROAD
Castro Valley, CA 94546
"
50512,KAISER FOUNDATION HOSPITAL - FREMONT,39400 PASEO PADRE PKWY,Hayward,CA,94545,ALAMEDA,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,4 out of 10,4 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,6,16,"39400 PASEO PADRE PKWY
Hayward, CA 94545
"
50567,MISSION HOSPITAL REGIONAL MED CENTER,27700 MEDICAL CENTER RD,Mission Viejo,CA,92691,ORANGE,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,4 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,9,15,"27700 MEDICAL CENTER RD
Mission Viejo, CA 92691
"
50684,MENIFEE VALLEY MEDICAL CENTER,28400 MCCALL B0ULEVARD,Menifee,CA,92585,RIVERSIDE,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,3,10,"28400 MCCALL B0ULEVARD
Menifee, CA 92585
"
50717,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR,7601 EAST IMPERIAL HIGHWAY,Downey,CA,90242,ORANGE,1 out of 10,3 out of 9,3 out of 10,2 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,3 out of 9,4 out of 10,0 out of 10,2 out of 9,2 out of 10,4 out of 10,0 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,19,17,"7601 EAST IMPERIAL HIGHWAY
Downey, CA 90242
"
50748,KAISER FOUNDATION HOSPITAL MANTECA,1777 WEST YOSEMITE AVE,Modesto,CA,95356,SAN JOAQUIN,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,1 out of 9,2 out of 10,5 out of 10,0 out of 9,5 out of 10,10,18,"1777 WEST YOSEMITE AVE
Modesto, CA 95356
"
50767,KAISER FOUNDATION HOSPITAL - VACAVILLE,1 QUALITY DRIVE,Vallejo,CA,94589,SOLANO,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,1 out of 9,1 out of 10,2 out of 10,1 out of 9,2 out of 10,3 out of 10,0 out of 9,3 out of 10,6 out of 10,0 out of 9,6 out of 10,14,19,"1 QUALITY DRIVE
Vallejo, CA 94589
"
60104,ST ANTHONY NORTH HEALTH CAMPUS,14300 ORCHARD PARKWAY,Westminster,CO,80023,,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,6 out of 10,4 out of 9,6 out of 10,1 out of 10,0 out of 9,1 out of 10,9,16,"14300 ORCHARD PARKWAY
Westminster, CO 80023
"
70029,BRISTOL HOSPITAL,BREWSTER RD,Bristol,CT,6010,HARTFORD,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,2 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,6 out of 10,5 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,10,16,"BREWSTER RD
Bristol, CT 06010
"
80003,ST FRANCIS HOSPITAL,7TH AND CLAYTON STS,Wilmington,DE,19805,NEW CASTLE,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1,14,"7TH AND CLAYTON STS
Wilmington, DE 19805
"
100054,TWIN CITIES HOSPITAL,2190 HWY 85 N,Niceville,FL,32578,OKALOOSA,2 out of 10,0 out of 9,2 out of 10,6 out of 10,0 out of 9,6 out of 10,4 out of 10,0 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,8 out of 10,3 out of 9,8 out of 10,4 out of 10,1 out of 9,4 out of 10,28,18,"2190 HWY 85 N
Niceville, FL 32578
"
100109,FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER,4200 SUN N LAKE BLVD,Orlando,FL,32886,HIGHLANDS,1 out of 10,2 out of 9,2 out of 10,0 out of 10,2 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,3 out of 9,3 out of 10,4 out of 10,5 out of 9,5 out of 10,3 out of 10,2 out of 9,3 out of 10,10 out of 10,9 out of 9,10 out of 10,3 out of 10,3 out of 9,3 out of 10,29,16,"4200 SUN N LAKE BLVD
Orlando, FL 32886
"
100137,HEART OF FLORIDA REGIONAL MEDICAL CENTER,40100 US HWY 27 N,Davenport,FL,33837,POLK,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,10,9,"40100 US HWY 27 N
Davenport, FL 33837
"
100183,CORAL GABLES HOSPITAL,3100 DOUGLAS RD,Coral Gables,FL,33134,DADE,0 out of 10,2 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,1 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,1 out of 9,5 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,14,14,"3100 DOUGLAS RD
Coral Gables, FL 33134
"
100209,KENDALL REGIONAL MEDICAL CENTER,11750 BIRD RD,Miami,FL,33175,DADE,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1,13,"11750 BIRD RD
Miami, FL 33175
"
110030,CARTERSVILLE MEDICAL CENTER,960 JOE FRANK HARRIS PARKWAY,Cartersville,GA,30120,BARTOW,0 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,2 out of 9,2 out of 10,3 out of 10,4 out of 9,4 out of 10,4 out of 10,3 out of 9,4 out of 10,3 out of 10,4 out of 9,4 out of 10,0 out of 10,2 out of 9,2 out of 10,22,16,"960 JOE FRANK HARRIS PARKWAY
Cartersville, GA 30120
"
110038,JOHN D ARCHBOLD MEMORIAL HOSPITAL,915 GORDON AVENUE & MIMOSA DRIVE,Thomasville,GA,31792,THOMAS,4 out of 10,2 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,1 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,6 out of 10,2 out of 9,6 out of 10,5 out of 10,2 out of 9,5 out of 10,3 out of 10,0 out of 9,3 out of 10,24,19,"915 GORDON AVENUE &amp; MIMOSA DRIVE
Thomasville, GA 31792
"
110041,HABERSHAM COUNTY MEDICAL CTR,541 HISTORIC HIGHWAY 441-NORTH,Demorest,GA,30535,HABERSHAM,4 out of 10,3 out of 9,4 out of 10,5 out of 10,4 out of 9,5 out of 10,1 out of 10,1 out of 9,1 out of 10,2 out of 10,3 out of 9,3 out of 10,6 out of 10,6 out of 9,6 out of 10,3 out of 10,2 out of 9,3 out of 10,9 out of 10,9 out of 9,9 out of 10,1 out of 10,1 out of 9,1 out of 10,32,20,"541 HISTORIC HIGHWAY 441-NORTH
Demorest, GA 30535
"
110042,WELLSTAR PAULDING HOSPITAL,2518 JIMMY LEE SMITH PARKWAY,Hiram,GA,30141,PAULDING,2 out of 10,0 out of 9,2 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,1 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,7 out of 10,6 out of 9,7 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,3 out of 9,5 out of 10,19,17,"2518 JIMMY LEE SMITH PARKWAY
Hiram, GA 30141
"
110128,MEADOWS REGIONAL MEDICAL CENTER,ONE MEADOWS PARKWAY,Vidalia,GA,30474,TOOMBS,4 out of 10,0 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,3 out of 10,0 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,6 out of 10,3 out of 9,6 out of 10,6 out of 10,0 out of 9,6 out of 10,4 out of 10,4 out of 9,4 out of 10,3 out of 10,0 out of 9,3 out of 10,33,20,"ONE MEADOWS PARKWAY
Vidalia, GA 30474
"
120028,NORTH HAWAII COMMUNITY HOSPITAL,67 1125 MAMALAHOA HIGHWAY,Kamuela,HI,96743,HAWAII,3 out of 10,2 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,5 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,5 out of 10,1 out of 9,5 out of 10,1 out of 10,3 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,21,18,"67 1125 MAMALAHOA HIGHWAY
Kamuela, HI 96743
"
130013,SAINT ALPHONSUS MEDICAL CENTER - NAMPA,1512 TWELFTH AVENUE ROAD,Nampa,ID,83686,CANYON,0 out of 10,0 out of 9,0 out of 10,2 out of 10,1 out of 9,2 out of 10,1 out of 10,2 out of 9,2 out of 10,1 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,4 out of 10,0 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,12,17,"1512 TWELFTH AVENUE ROAD
Nampa, ID 83686
"
140002,ALTON MEMORIAL HOSPITAL,ONE MEMORIAL DRIVE,Alton,IL,62002,MADISON,6 out of 10,3 out of 9,6 out of 10,3 out of 10,0 out of 9,3 out of 10,4 out of 10,3 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,3 out of 10,3 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,4 out of 10,0 out of 9,4 out of 10,6 out of 10,3 out of 9,6 out of 10,31,20,"ONE MEMORIAL DRIVE
Alton, IL 62002
"
