St,fips,county,lat,long
GA,13055,Chattooga,34.474179,-85.345289
GA,13057,Cherokee,34.244317,-84.475057
GA,13059,Clarke,33.952234,-83.36713
GA,13061,Clay,31.619831,-84.992583
GA,13063,Clayton,33.552242,-84.412977
GA,13065,Clinch,30.917653,-82.702614
GA,13067,Cobb,33.93994,-84.574166
GA,13069,Coffee,31.549245,-82.844938
GA,13071,Colquitt,31.189758,-83.769741
GA,13073,Columbia,33.550556,-82.251342
GA,13075,Cook,31.152935,-83.429552
GA,13077,Coweta,33.352897,-84.762138
GA,13079,Crawford,32.709446,-83.979182
GA,13081,Crisp,31.914753,-83.753338
GA,13083,Dade,34.852424,-85.506201
GA,13085,Dawson,34.442842,-84.173284
GA,13087,Decatur,30.877961,-84.577744
GA,13089,DeKalb,33.770661,-84.226343
GA,13091,Dodge,32.160656,-83.156818
GA,13093,Dooly,32.151995,-83.807167
GA,13095,Dougherty,31.535068,-84.214444
GA,13097,Douglas,33.699317,-84.765944
GA,13099,Early,31.324191,-84.906723
GA,13101,Echols,30.7085,-82.836132
GA,13103,Effingham,32.361711,-81.343337
GA,13105,Elbert,34.115017,-82.842057
GA,13107,Emanuel,32.5911,-82.299763
GA,13109,Evans,32.151902,-81.887618
GA,13111,Fannin,34.863837,-84.319287
GA,13113,Fayette,33.412717,-84.493941
GA,13115,Floyd,34.263677,-85.21373
GA,13117,Forsyth,34.225143,-84.127336
GA,13119,Franklin,34.375155,-83.227291
GA,13121,Fulton,33.790034,-84.468182
GA,13123,Gilmer,34.690541,-84.453984
GA,13125,Glascock,33.227491,-82.606913
GA,13127,Glynn,31.212747,-81.496517
GA,13129,Gordon,34.509667,-84.873862
GA,13131,Grady,30.875863,-84.244772
GA,13133,Greene,33.576836,-83.167103
GA,13135,Gwinnett,33.959101,-84.022938
GA,13137,Habersham,34.635108,-83.526406
GA,13139,Hall,34.317588,-83.818497
GA,13141,Hancock,33.26922,-83.000465
GA,13143,Haralson,33.795165,-85.220062
GA,13145,Harris,32.731549,-84.912432
GA,13147,Hart,34.348733,-82.96329
GA,13149,Heard,33.290968,-85.139594
GA,13151,Henry,33.452881,-84.15444
GA,13153,Houston,32.458381,-83.662856
GA,13155,Irwin,31.604306,-83.277037
GA,13157,Jackson,34.134157,-83.565133
GA,13159,Jasper,33.314905,-83.687892
GA,13161,Jeff Davis,31.811615,-82.636825
GA,13163,Jefferson,33.051874,-82.41905
GA,13165,Jenkins,32.794563,-81.971524
GA,13167,Johnson,32.689831,-82.661354
GA,13169,Jones,33.020226,-83.562339
GA,13171,Lamar,33.07446,-84.146721
GA,13173,Lanier,31.038197,-83.063164
GA,13175,Laurens,32.39322,-82.926317
GA,13177,Lee,31.818419,-84.146681
GA,13179,Liberty,31.807245,-81.457969
GA,13181,Lincoln,33.792151,-82.448299
GA,13183,Long,31.749563,-81.74287
GA,13185,Lowndes,30.83368,-83.268967
GA,13187,Lumpkin,34.568149,-83.998828
GA,13189,McDuffie,33.482464,-82.473188
GA,13191,McIntosh,31.482978,-81.370199
GA,13193,Macon,32.366216,-84.052162
GA,13195,Madison,34.128486,-83.203637
GA,13197,Marion,32.359538,-84.529561
GA,13199,Meriwether,33.03022,-84.663279
GA,13201,Miller,31.162908,-84.730386
GA,13205,Mitchell,31.22894,-84.192407
GA,13207,Monroe,33.017435,-83.922938
GA,13209,Montgomery,32.172108,-82.533349
GA,13211,Morgan,33.593732,-83.492324
GA,13213,Murray,34.797097,-84.73799
GA,13215,Muscogee,32.510197,-84.874946
GA,13217,Newton,33.544046,-83.855189
GA,13219,Oconee,33.834125,-83.437728
GA,13221,Oglethorpe,33.866806,-83.074081
GA,13223,Paulding,33.920903,-84.866979
GA,13225,Peach,32.571324,-83.831978
GA,13227,Pickens,34.456621,-84.490256
GA,13229,Pierce,31.353988,-82.210427
GA,13231,Pike,33.090769,-84.386627
GA,13233,Polk,33.995961,-85.186826
GA,13235,Pulaski,32.238794,-83.481855
GA,13237,Putnam,33.321061,-83.37179
GA,13239,Quitman,31.861487,-85.009317
GA,13241,Rabun,34.883026,-83.404735
GA,13243,Randolph,31.762651,-84.752311
GA,13245,Richmond,33.361487,-82.074998
GA,13247,Rockdale,33.652081,-84.02637
GA,13249,Schley,32.263441,-84.322724
GA,13251,Screven,32.744751,-81.617585
GA,13253,Seminole,30.933894,-84.867592
GA,13255,Spalding,33.262389,-84.286067
GA,13257,Stephens,34.552914,-83.290216
GA,13259,Stewart,32.073225,-84.834912
GA,13261,Sumter,32.042203,-84.204283
GA,13263,Talbot,32.704603,-84.530029
GA,13265,Taliaferro,33.559314,-82.875208
GA,13267,Tattnall,32.043768,-82.059208
GA,13269,Taylor,32.554667,-84.251426
GA,13271,Telfair,31.913639,-82.931062
GA,13273,Terrell,31.777191,-84.439446
GA,13275,Thomas,30.864616,-83.919783
GA,13277,Tift,31.457003,-83.525931
GA,13279,Toombs,32.126698,-82.332071
GA,13281,Towns,34.90265,-83.732158
GA,13283,Treutlen,32.409586,-82.570882
GA,13285,Troup,33.034482,-85.02836
GA,13287,Turner,31.718232,-83.628567
GA,13289,Twiggs,32.665847,-83.425879
GA,13291,Union,34.83377,-83.989573
GA,13293,Upson,32.881837,-84.292281
GA,13295,Walker,34.735827,-85.305385
GA,13297,Walton,33.782649,-83.734215
GA,13299,Ware,31.050881,-82.421507
GA,13301,Warren,33.419169,-82.688012
GA,13303,Washington,32.971848,-82.798112
GA,13305,Wayne,31.547845,-81.912376
GA,13307,Webster,32.046554,-84.553218
GA,13309,Wheeler,32.109276,-82.738701
GA,13311,White,34.643677,-83.743713
GA,13313,Whitfield,34.801726,-84.968541
GA,13315,Wilcox,31.962717,-83.438262
GA,13317,Wilkes,33.77904,-82.747922
GA,13319,Wilkinson,32.804321,-83.175587
GA,13321,Worth,31.551773,-83.84996
HI,15001,Hawai?i,19.597764,-155.502443
HI,15003,Honolulu,21.461364,-158.201976
HI,15005,Kalawao [8],21.218764,-156.97401
HI,15007,Kaua?i,22.012038,-159.705965
HI,15009,Maui,20.855931,-156.60155
ID,16001,Ada,43.447861,-116.244456
ID,16003,Adams,44.884583,-116.431873
ID,16005,Bannock,42.692939,-112.228986
ID,16007,Bear Lake,42.285833,-111.327445
ID,16009,Benewah,47.218451,-116.633541
ID,16011,Bingham,43.216357,-112.399206
ID,16013,Blaine,43.394482,-113.95529
ID,16015,Boise,43.987275,-115.715111
ID,16017,Bonner,48.312512,-116.59694
ID,16019,Bonneville,43.395171,-111.621878
ID,16021,Boundary,48.773065,-116.524619
ID,16023,Butte,43.6851,-113.177627
ID,16025,Camas,43.463396,-114.804427
ID,16027,Canyon,43.623051,-116.708527
ID,16029,Caribou,42.786273,-111.544172
ID,16031,Cassia,42.288635,-113.605498
ID,16033,Clark,44.286251,-112.36112
ID,16035,Clearwater,46.67257,-115.6535
ID,16037,Custer,44.273341,-114.252251
ID,16039,Elmore,43.394826,-115.470751
ID,16041,Franklin,42.173589,-111.822955
ID,16043,Fremont,44.218091,-111.484429
ID,16045,Gem,44.061473,-116.398784
ID,16047,Gooding,42.973185,-114.82142
ID,16049,Idaho,45.849237,-115.467376
ID,16051,Jefferson,43.796965,-112.318588
ID,16053,Jerome,42.691172,-114.263009
ID,16055,Kootenai,47.677113,-116.694918
ID,16057,Latah,46.81892,-116.730974
ID,16059,Lemhi,44.928789,-113.887841
ID,16061,Lewis,46.236328,-116.42376
ID,16063,Lincoln,42.986181,-114.153899
ID,16065,Madison,43.789709,-111.65655
ID,16067,Minidoka,42.856937,-113.64001
ID,16069,Nez Perce,46.333766,-116.760903
ID,16071,Oneida,42.18389,-112.520465
ID,16073,Owyhee,42.593063,-116.142655
ID,16075,Payette,44.00274,-116.748655
ID,16077,Power,42.694126,-112.844407
ID,16079,Shoshone,47.347694,-115.885092
ID,16081,Teton,43.760994,-111.211765
ID,16083,Twin Falls,42.352309,-114.665639
ID,16085,Valley,44.771532,-115.637875
ID,16087,Washington,44.448213,-116.79783
IL,17001,Adams,39.986053,-91.194961
IL,17003,Alexander,37.183683,-89.349506
IL,17005,Bond,38.885924,-89.436592
IL,17007,Boone,42.318983,-88.824295
IL,17009,Brown,39.962069,-90.75031
IL,17011,Bureau,41.401304,-89.528377
IL,17013,Calhoun,39.164262,-90.666295
IL,17015,Carroll,42.059084,-89.926485
IL,17017,Cass,39.969202,-90.245705
IL,17019,Champaign,40.13915,-88.197201
IL,17021,Christian,39.545524,-89.279593
IL,17023,Clark,39.332364,-87.791687
IL,17025,Clay,38.747312,-88.483789
IL,17027,Clinton,38.606423,-89.423136
IL,17029,Coles,39.51368,-88.220782
IL,17031,Cook,41.894294,-87.645455
IL,17033,Crawford,39.00373,-87.757172
IL,17035,Cumberland,39.273121,-88.240619
IL,17037,DeKalb,41.894613,-88.768991
IL,17039,De Witt,40.181499,-88.901853
IL,17041,Douglas,39.766078,-88.222866
IL,17043,DuPage,41.852058,-88.086038
IL,17045,Edgar,39.679037,-87.74711
IL,17047,Edwards,38.417095,-88.047941
IL,17049,Effingham,39.047694,-88.592786
IL,17051,Fayette,39.001125,-89.017923
IL,17053,Ford,40.594423,-88.224746
IL,17055,Franklin,37.991848,-88.926246
IL,17057,Fulton,40.465688,-90.206793
IL,17059,Gallatin,37.768677,-88.227964
IL,17061,Greene,39.355444,-90.387757
IL,17063,Grundy,41.29241,-88.401055
